X,Y,OBJECTID,PNT,CTGY,Y_WGS_84,X_WGS_84,HGHT,RMRK,SRC,HGHT_SRC,STS
2055127.37257555,-4002401.53624431,37649,10CD10,3,-49861.79,-3741958.01,5.025,,19,18,2
2060157.79106738,-3970363.66927102,37650,10DA6,3,-45804.18,-3715373.99,179.534,,19,18,2
2072363.01075795,-4011044.24809686,37651,10DC13,3,-35498.06,-3749047.07,226.792,,19,18,2
2072237.4844831,-4021398.14567631,37652,10DC18,3,-35570.32,-3757609.98,51.65,Demolished,19,18,1
2067767.72489381,-4022161.79381583,37653,10DC22,3,-39279.62,-3758255.85,31.646,,19,18,2
2075044.15998073,-4022215.68226464,37654,10DC23,3,-33237.15,-3758277.29,54.783,,19,18,2
2080484.22180324,-4027859.99332212,37655,10DC24,3,-28705.65,-3762926.73,62.371,Demolished,19,18,1
2045804.62271906,-4022839.10433229,37656,10F12,3,-57514.4,-3758908.76,23.5,TMS F1P197,19,18,2
2045937.04729931,-4018277.82178951,37657,10F7,3,-57427.26,-3755137.34,7.989,,19,18,2
2046680.40936918,-4017855.19543982,37658,10G6,3,-56811.85,-3754784.17,7.24,,19,18,2
2048958.12023256,-4019623.38107799,37659,10H8,3,-54911.26,-3756235,82.198,,19,18,2
2048970.47274613,-4020330.07060583,37660,10H9,3,-54897.62,-3756819.18,82.452,Demolished,19,,1
2049187.18510637,-4015343.46799666,37661,10I4,3,-54741.4,-3752694.82,5.448,,19,18,2
2050608.54442998,-4021024.99090133,37662,10J10,3,-53533.9,-3757385.88,0,,19,14,4
2050669.3647628,-4017337.98332585,37663,10J6,3,-53500.57,-3754337.24,0,DEMOLISHED,19,18,1
2052670.08764127,-4030322.91563332,37664,10K19,3,-51779.81,-3765059.42,58.568,,19,18,2
2053327.71122914,-4030811.76066793,37665,10K20,3,-51231.92,-3765460.22,46.013,,19,18,2
2052975.11896951,-4031588.11699138,37666,10K21,3,-51521,-3766103.02,58.092,,19,18,2
2052158.83708174,-4032995.50579041,37667,10K22,3,-52191.87,-3767269.02,56.524,,19,18,2
2052187.03574905,-4046229.89348562,37668,10K36,3,-52108.13,-3778191.53,8.536,,19,14,1
2053589.57474546,-4028654.32120383,37669,10L18,3,-51024.24,-3763676.94,125.028,,19,14,2
2054054.23837991,-4035996.79795358,37670,10L25,3,-50606.14,-3769738.6,0,GP 10887,16,,4
2053443.22014092,-4045848.0974551,37671,10L36,3,-51068.89,-3777870.9,20.995,,19,3,2
2055657.42487472,-4029376.1351903,37672,10M18,3,-49304.96,-3764264.12,55.139,,19,18,2
2055931.60011999,-4030720.19871102,37673,10M20,3,-49071.67,-3765373.14,36.52,,19,18,2
2055727.99386975,-4035589.58178014,37674,10M25,3,-49219.68,-3769395.07,0,,19,14,4
2055952.60996675,-4038475.33969785,37675,10M28,3,-49021.01,-3771776.31,3.412,,19,14,2
2054854.57416488,-4001318.91293204,37676,10M4,3,-50093.42,-3741062.77,14.836,,19,18,2
2058911.43874062,-4022289.83923816,37677,10O11,3,-46633.34,-3758395,5.999,Demolished,19,14,1
2058000.68644524,-4026649.00146608,37678,10O15,3,-47371.61,-3762001.17,21.476,,19,18,2
2058879.38095169,-4018261.53797123,37679,10O7,3,-46676.34,-3755064.93,13.058,,19,18,2
2059950.77860285,-4016663.90354188,37680,10P5,3,-45792.72,-3753739.51,13.048,demolished,19,14,2
2059116.17391019,-4017394.52129096,37681,10P6,3,-46483.15,-3754347.05,13.007,,19,14,2
2063818.73152765,-4028295.93628494,37682,10S17,3,-42536.09,-3763338.92,21.75,JAN 85 TMS120C,17,18,5
2064208.82655272,-4018569.19881734,37683,10S7,3,-42248.14,-3755298.58,20.514,Demolished,19,14,1
2070530.63185901,-4036734.89273365,37684,10X26,3,-36938.3,-3770284.61,0,,19,18,4
2072110.57704679,-4033471.55032836,37685,10Y23,3,-35638.15,-3767585.24,0,MP EXT 48,19,18,4
2073201.77165578,-4038078.97724065,37686,10Z27,3,-34718.94,-3771385.71,0,G.P.2391/1992,13,,4
2083229.88369638,-4031228.17737182,37687,110BA5,3,-26419.04,-3765702.32,16.715,,19,18,2
2058202.29723173,-3968785.68846558,37688,110CB10,3,-47441.79,-3714071.68,198.027,,19,18,2
2067166.94338011,-4019027.97505552,37689,110DC17,3,-39789.37,-3755667.28,29.346,,19,18,2
2076730.13446466,-4021035.23387763,37690,110DC19,3,-31840.41,-3757296.73,55.592,,19,18,2
2083236.82897033,-4030888.75839121,37691,111BA5,3,-26414.06,-3765421.97,18.132,,19,18,2
2058156.99020009,-3968606.82121023,37692,111CB10,3,-47480.32,-3713923.34,199.505,,19,18,2
2067264.18503435,-4019195.32081315,37693,111DC17,3,-39708.02,-3755805.3,29.144,,19,18,2
2098060.02103287,-4039308.38271789,37694,112B7(62),3,-14104.02,-3772347.13,,Demolished,0,,1
2083178.18051839,-4030739.04299018,37695,112BA5,3,-26463.07,-3765298.45,20.616,,19,18,2
2096470.51827961,-4042185.50162359,37696,112BB7,3,-15418.07,-3774723.47,10.654,PREVIOUSLY 11BB12,0,,2
2058049.99768307,-3968736.02734149,37697,112CB10,3,-47569.05,-3714031.07,197.408,,19,18,2
2067927.57281784,-4017483.87935259,37698,112DC17,3,-39162.84,-3754387.93,34.389,,19,18,2
2082864.08054261,-4030816.55121346,37699,113BA5,3,-26723.52,-3765363.2,19.964,,19,18,2
2057792.16914906,-3968679.01041941,37700,113CB10,3,-47784.38,-3713984.79,197.461,,19,18,2
2067502.38847955,-4017683.04339026,37701,113DC17,3,-39515.37,-3754554.08,31.932,,19,18,2
